Language Literacy,Qualification,Gender,Count,num_languages,education_level_ordinal,gender_numeric,eng_speaker,chi_speaker,malay_speaker,tamil_speaker,total_per_group,percentage
Chinese Only,Primary,Females,46380,1,1,0,0,1,0,0,93832,49.428766305737916
Malay Only,Primary,Females,6942,1,1,0,0,0,1,0,93832,7.398328928297381
Tamil Only,Primary,Females,1688,1,1,0,0,0,0,1,93832,1.7989598431238811
Non-Official Language Only,Primary,Females,819,1,1,0,0,0,0,0,93832,0.8728365589564328
English & Chinese Only,Primary,Females,15380,2,1,0,1,1,0,0,93832,16.390996674908347
English & Malay Only,Primary,Females,10031,2,1,0,1,0,1,0,93832,10.690382811833917
English & Tamil Only,Primary,Females,2142,2,1,0,1,0,0,1,93832,2.282803308039901
English & Non-Official Language Only,Primary,Females,446,2,1,0,1,0,0,0,93832,0.4753175888822576
Other Two Languages Only,Primary,Females,764,2,1,0,0,0,0,0,93832,0.8142211612243159
"English, Chinese & Malay Only",Primary,Females,476,3,1,0,1,1,1,0,93832,0.5072896240088669
"English, Malay & Tamil Only",Primary,Females,313,3,1,0,1,0,1,1,93832,0.3335748998209566
Other Three or More Languages,Primary,Females,276,3,1,0,0,0,0,0,93832,0.29414272316480516
Not Literate,Lower Secondary,Females,539,0,2,0,0,0,0,0,129611,0.41585976498908267
English Only,Lower Secondary,Females,14246,1,2,0,1,0,0,0,129611,10.99135104273557
Chinese Only,Lower Secondary,Females,44225,1,2,0,0,1,0,0,129611,34.12133229432687
Malay Only,Lower Secondary,Females,3759,1,2,0,0,0,1,0,129611,2.9002168025862
Tamil Only,Lower Secondary,Females,826,1,2,0,0,0,0,1,129611,0.6372915879053476
Non-Official Language Only,Lower Secondary,Females,739,1,2,0,0,0,0,0,129611,0.5701676555230651
English & Chinese Only,Lower Secondary,Females,35608,2,2,0,1,1,0,0,129611,27.472976830670238
English & Malay Only,Lower Secondary,Females,19194,2,2,0,1,0,1,0,129611,14.808928254546297
English & Tamil Only,Lower Secondary,Females,3671,2,2,0,1,0,0,1,129611,2.832321330751248
English & Non-Official Language Only,Lower Secondary,Females,1401,2,2,0,1,0,0,0,129611,1.0809267731905472
Other Two Languages Only,Lower Secondary,Females,1152,2,2,0,0,0,0,0,129611,0.888813449475739
"English, Chinese & Malay Only",Lower Secondary,Females,2665,3,2,0,1,1,1,0,129611,2.056152641365316
"English, Malay & Tamil Only",Lower Secondary,Females,718,3,2,0,1,0,1,1,129611,0.553965327016997
Other Three or More Languages,Lower Secondary,Females,868,3,2,0,0,0,0,0,129611,0.6696962449174839
Not Literate,Secondary,Females,542,0,3,0,0,0,0,0,277951,0.19499839899838461
English Only,Secondary,Females,36890,1,3,0,1,0,0,0,277951,13.272123503783039
Chinese Only,Secondary,Females,33895,1,3,0,0,1,0,0,277951,12.194595450277207
Malay Only,Secondary,Females,2944,1,3,0,0,0,1,0,277951,1.0591794956665024
Tamil Only,Secondary,Females,589,1,3,0,0,0,0,1,277951,0.21190785426208214
Non-Official Language Only,Secondary,Females,553,1,3,0,0,0,0,0,277951,0.19895593108137768
English & Chinese Only,Secondary,Females,121709,2,3,0,1,1,0,0,277951,43.7879338444546
English & Malay Only,Secondary,Females,54576,2,3,0,1,0,1,0,277951,19.635115541948043
English & Tamil Only,Secondary,Females,8148,2,3,0,1,0,0,1,277951,2.9314519465661215
English & Non-Official Language Only,Secondary,Females,2561,2,3,0,1,0,0,0,277951,0.9213854240495627
Other Two Languages Only,Secondary,Females,1028,2,3,0,0,0,0,0,277951,0.3698493619378955
"English, Chinese & Malay Only",Secondary,Females,9549,3,3,0,1,1,1,0,277951,3.435497623681872
"English, Malay & Tamil Only",Secondary,Females,2022,3,3,0,1,0,1,1,277951,0.7274663519829034
Other Three or More Languages,Secondary,Females,2945,3,3,0,0,0,0,0,277951,1.0595392713104108
Not Literate,Post-Secondary (Non-Tertiary),Females,1071,0,4,0,0,0,0,0,151060,0.7089898053753475
English Only,Post-Secondary (Non-Tertiary),Females,14965,1,4,0,1,0,0,0,151060,9.906659605454786
Chinese Only,Post-Secondary (Non-Tertiary),Females,17650,1,4,0,0,1,0,0,151060,11.684099033496624
Malay Only,Post-Secondary (Non-Tertiary),Females,1307,1,4,0,0,0,1,0,151060,0.8652191182311664
Tamil Only,Post-Secondary (Non-Tertiary),Females,244,1,4,0,0,0,0,1,151060,0.1615252217661856
Non-Official Language Only,Post-Secondary (Non-Tertiary),Females,382,1,4,0,0,0,0,0,151060,0.25287965047001193
English & Chinese Only,Post-Secondary (Non-Tertiary),Females,63751,2,4,0,1,1,0,0,151060,42.20243611809877
English & Malay Only,Post-Secondary (Non-Tertiary),Females,35692,2,4,0,1,0,1,0,151060,23.62769760360122
English & Tamil Only,Post-Secondary (Non-Tertiary),Females,5218,2,4,0,1,0,0,1,151060,3.454256586786707
English & Non-Official Language Only,Post-Secondary (Non-Tertiary),Females,2174,2,4,0,1,0,0,0,151060,1.4391632463921622
Other Two Languages Only,Post-Secondary (Non-Tertiary),Females,530,2,4,0,0,0,0,0,151060,0.35085396531179663
"English, Chinese & Malay Only",Post-Secondary (Non-Tertiary),Females,3992,3,4,0,1,1,1,0,151060,2.642658546273004
"English, Malay & Tamil Only",Post-Secondary (Non-Tertiary),Females,1138,3,4,0,1,0,1,1,151060,0.753343042499669
Other Three or More Languages,Post-Secondary (Non-Tertiary),Females,2946,3,4,0,0,0,0,0,151060,1.9502184562425524
Not Literate,Polytechnic Diploma,Females,14,0,5,0,0,0,0,0,120816,0.011587869156403125
English Only,Polytechnic Diploma,Females,7963,1,5,0,1,0,0,0,120816,6.591014435174149
Chinese Only,Polytechnic Diploma,Females,2926,1,5,0,0,1,0,0,120816,2.421864653688253
Malay Only,Polytechnic Diploma,Females,98,1,5,0,0,0,1,0,120816,0.08111508409482188
Tamil Only,Polytechnic Diploma,Females,15,1,5,0,0,0,0,1,120816,0.012415574096146206
Non-Official Language Only,Polytechnic Diploma,Females,30,1,5,0,0,0,0,0,120816,0.024831148192292412
English & Chinese Only,Polytechnic Diploma,Females,73554,2,5,0,1,1,0,0,120816,60.88100913786253
English & Malay Only,Polytechnic Diploma,Females,23582,2,5,0,1,0,1,0,120816,19.51893788902132
English & Tamil Only,Polytechnic Diploma,Females,4331,2,5,0,1,0,0,1,120816,3.5847900940272814
English & Non-Official Language Only,Polytechnic Diploma,Females,1089,2,5,0,1,0,0,0,120816,0.9013706793802145
Other Two Languages Only,Polytechnic Diploma,Females,43,2,5,0,0,0,0,0,120816,0.03559131240895246
"English, Chinese & Malay Only",Polytechnic Diploma,Females,3850,3,5,0,1,1,1,0,120816,3.18666401801086
"English, Malay & Tamil Only",Polytechnic Diploma,Females,429,3,5,0,1,0,1,1,120816,0.3550854191497815
Other Three or More Languages,Polytechnic Diploma,Females,2892,3,5,0,0,0,0,0,120816,2.3937226857369884
Not Literate,Professional Qualification and Other Diploma,Females,33,0,6,0,0,0,0,0,130302,0.02532578164571534
English Only,Professional Qualification and Other Diploma,Females,12797,1,6,0,1,0,0,0,130302,9.821031143036944
Chinese Only,Professional Qualification and Other Diploma,Females,6782,1,6,0,0,1,0,0,130302,5.204831852158831
Malay Only,Professional Qualification and Other Diploma,Females,157,1,6,0,0,0,1,0,130302,0.12048932479931238
