Language Literacy,Qualification,Gender,Count
One Language Only,Post-Secondary (Non-Tertiary),Females,34547
English Only,Post-Secondary (Non-Tertiary),Females,14965
Chinese Only,Post-Secondary (Non-Tertiary),Females,17650
Malay Only,Post-Secondary (Non-Tertiary),Females,1307
Tamil Only,Post-Secondary (Non-Tertiary),Females,244
Non-Official Language Only,Post-Secondary (Non-Tertiary),Females,382
Two Languages Only,Post-Secondary (Non-Tertiary),Females,107365
English & Chinese Only,Post-Secondary (Non-Tertiary),Females,63751
English & Malay Only,Post-Secondary (Non-Tertiary),Females,35692
English & Tamil Only,Post-Secondary (Non-Tertiary),Females,5218
English & Non-Official Language Only,Post-Secondary (Non-Tertiary),Females,2174
Other Two Languages Only,Post-Secondary (Non-Tertiary),Females,530
Three or More Languages,Post-Secondary (Non-Tertiary),Females,8076
"English, Chinese & Malay Only",Post-Secondary (Non-Tertiary),Females,3992
"English, Malay & Tamil Only",Post-Secondary (Non-Tertiary),Females,1138
Other Three or More Languages,Post-Secondary (Non-Tertiary),Females,2946
Total,Polytechnic Diploma,Females,120815
Not Literate,Polytechnic Diploma,Females,14
Literate,Polytechnic Diploma,Females,120801
One Language Only,Polytechnic Diploma,Females,11031
English Only,Polytechnic Diploma,Females,7963
Chinese Only,Polytechnic Diploma,Females,2926
Malay Only,Polytechnic Diploma,Females,98
Tamil Only,Polytechnic Diploma,Females,15
Non-Official Language Only,Polytechnic Diploma,Females,30
Two Languages Only,Polytechnic Diploma,Females,102599
English & Chinese Only,Polytechnic Diploma,Females,73554
English & Malay Only,Polytechnic Diploma,Females,23582
English & Tamil Only,Polytechnic Diploma,Females,4331
English & Non-Official Language Only,Polytechnic Diploma,Females,1089
Other Two Languages Only,Polytechnic Diploma,Females,43
Three or More Languages,Polytechnic Diploma,Females,7171
"English, Chinese & Malay Only",Polytechnic Diploma,Females,3850
"English, Malay & Tamil Only",Polytechnic Diploma,Females,429
Other Three or More Languages,Polytechnic Diploma,Females,2892
Total,Professional Qualification and Other Diploma,Females,130302
Not Literate,Professional Qualification and Other Diploma,Females,33
Literate,Professional Qualification and Other Diploma,Females,130269
One Language Only,Professional Qualification and Other Diploma,Females,19980
English Only,Professional Qualification and Other Diploma,Females,12797
Chinese Only,Professional Qualification and Other Diploma,Females,6782
Malay Only,Professional Qualification and Other Diploma,Females,157
Tamil Only,Professional Qualification and Other Diploma,Females,53
Non-Official Language Only,Professional Qualification and Other Diploma,Females,191
Two Languages Only,Professional Qualification and Other Diploma,Females,91772
English & Chinese Only,Professional Qualification and Other Diploma,Females,67262
English & Malay Only,Professional Qualification and Other Diploma,Females,17442
English & Tamil Only,Professional Qualification and Other Diploma,Females,4302
English & Non-Official Language Only,Professional Qualification and Other Diploma,Females,2615
Other Two Languages Only,Professional Qualification and Other Diploma,Females,151
Three or More Languages,Professional Qualification and Other Diploma,Females,18517
"English, Chinese & Malay Only",Professional Qualification and Other Diploma,Females,14343
"English, Malay & Tamil Only",Professional Qualification and Other Diploma,Females,817
Other Three or More Languages,Professional Qualification and Other Diploma,Females,3357
Total,University,Females,518598
Not Literate,University,Females,24
Literate,University,Females,518574
One Language Only,University,Females,52551
English Only,University,Females,45820
Chinese Only,University,Females,5347
Malay Only,University,Females,245
Tamil Only,University,Females,396
Non-Official Language Only,University,Females,744
Two Languages Only,University,Females,403155
English & Chinese Only,University,Females,317366
English & Malay Only,University,Females,35873
English & Tamil Only,University,Females,22461
English & Non-Official Language Only,University,Females,27152
Other Two Languages Only,University,Females,303
Three or More Languages,University,Females,62868
"English, Chinese & Malay Only",University,Females,33333
"English, Malay & Tamil Only",University,Females,1114
Other Three or More Languages,University,Females,28420
